"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2024","109.21","105.20","109.99","104.14","245.96M","1.12%"
"03/09/2024","108.00","116.01","116.21","107.29","477.16M","-9.53%"
"30/08/2024","119.37","119.53","121.75","117.22","333.75M","1.51%"
"29/08/2024","117.59","121.36","124.43","116.71","453.02M","-6.38%"
"28/08/2024","125.61","128.12","128.33","122.64","448.10M","-2.10%"
"27/08/2024","128.30","125.05","129.20","123.88","303.14M","1.46%"
"26/08/2024","126.46","129.57","131.26","124.37","331.96M","-2.25%"
"23/08/2024","129.37","125.86","129.60","125.22","323.23M","4.55%"
"22/08/2024","123.74","130.02","130.75","123.10","376.19M","-3.70%"
"21/08/2024","128.50","127.32","129.35","126.66","257.88M","0.98%"
"20/08/2024","127.25","128.40","129.88","125.89","300.09M","-2.12%"
"19/08/2024","130.00","124.28","130.00","123.42","318.33M","4.35%"
"16/08/2024","124.58","121.94","125.00","121.18","302.59M","1.40%"
"15/08/2024","122.86","118.76","123.24","117.47","318.09M","4.05%"
"14/08/2024","118.08","118.53","118.60","114.07","339.25M","1.67%"
"13/08/2024","116.14","112.44","116.23","111.58","312.65M","6.53%"
"12/08/2024","109.02","106.32","111.07","106.26","325.56M","4.08%"
"09/08/2024","104.75","105.64","106.60","103.43","290.84M","-0.21%"
"08/08/2024","104.97","102.00","105.50","97.52","391.91M","6.13%"
"07/08/2024","98.91","107.81","108.80","98.69","411.44M","-5.12%"
"06/08/2024","104.25","103.84","107.71","100.55","409.01M","3.78%"
"05/08/2024","100.45","92.06","103.41","90.69","552.84M","-6.36%"
